28.03.2024 23:24:46 [Logger]: Initialized Logger
28.03.2024 23:24:46 [Set_folder]: Setting the folder position
28.03.2024 23:24:46 [Reader]: Determening the highest File number
28.03.2024 23:24:46 [Reader]: Highest file number is: 87
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:46 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
28.03.2024 23:24:47 [Reader]: Send information to da Writer
