28.03.2024 22:55:13 [Logger]: Initialized Logger
28.03.2024 22:55:13 [Set_folder]: Setting the folder position
28.03.2024 22:55:13 [Reader]: Determening the highest File number
28.03.2024 22:55:13 [Reader]: Highest file number is: 87
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
28.03.2024 22:55:13 [Reader]: Send information to da Writer
